Filename,Date,Sensor um/pixel,Camera Zoom,Objective Magnification,Image um/pixel,Annotations Zoom,Annotations um/pixel,Tissue,Length 1 (Blue) um,Area 1 (Blue) um2
070325 (Intestine)/r1493_0000 Annotated 1.tiff,20250703,5.3158,1.78,20,0.1494,0.4831,0.3093,Intestine,153.59,7836.85
070325 (Intestine)/r1493_0001 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6436,0.2294,Intestine,139.09,6924.31
070325 (Intestine)/r1493_0002 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6511,0.2268,Intestine,143.08,5750.08
070325 (Intestine)/r1493_0003 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6442,0.2292,Intestine,158.07,7026.12
070325 (Intestine)/r1493_0004 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,1.5062,0.098,Intestine,92.92,4797.24
070325 (Intestine)/r1493_0005 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6718,0.2198,Intestine,109.87,5798.32
070325 (Intestine)/r1493_0006 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6442,0.2292,Intestine,135.17,5720.45
070325 (Intestine)/r1493_0007 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6442,0.2292,Intestine,152.06,6749.13
070325 (Intestine)/r1493_0008 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6442,0.2292,Intestine,141.59,6200.56
070325 (Intestine)/r1493_0009 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6442,0.2292,Intestine,146.35,7235.46
070325 (Liver)/r1493_0000 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6442,0.2292,Liver,135.03,5909.37
070325 (Liver)/r1493_0001 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,1.0035,0.1471,Liver,126.58,7800.97
070325 (Liver)/r1493_0003 Annotated 1.tiff,20250703,5.3158,1.07,20,0.2487,0.6828,0.3643,Liver,94.7,4456.69
070325 (Liver)/r1493_0004 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.6696,0.2205,Liver,152.69,7979.03
070325 (Liver)/r1493_0005 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,120.53,5399.1
070325 (Liver)/r1493_0006 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,1.0226,0.1444,Liver,128.04,5321.15
070325 (Liver)/r1493_0007 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,165,8355.05
070325 (Liver)/r1493_0008 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.8153,0.1811,Liver,119.36,5756.11
070325 (Liver)/r1493_0010 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.5941,0.2485,Liver,141.71,6969.48
070325 (Liver)/r1493_0011 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.491,0.3007,Liver,145.11,5641.97
070325 (Liver)/r1493_0012 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,169.07,7136.32
070325 (Liver)/r1493_0013 Annotated 1.tiff,20250703,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,125.2,5507.01
070325 (Liver)/r1493_0014 Annotated 1.tiff,20250703,5.3158,1.78,20,0.1492,0.4831,0.3089,Liver,178.56,7425.99
071725 (Liver)/Image_0000 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,129.37,6194.56
071725 (Liver)/Image_0001 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,155.49,6166.9
071725 (Liver)/Image_0002 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,128.98,5144.39
071725 (Liver)/Image_0004 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.6046,0.2442,Liver,134.1,5258.8
071725 (Liver)/Image_0005 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,109.28,3551.98
071725 (Liver)/Image_0007 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,161.17,6052.11
071725 (Liver)/Image_0008 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4889,0.302,Liver,162.31,6197.5
071725 (Liver)/Image_0010 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,156.03,6096.03
071725 (Liver)/Image_0012 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,135.26,5909.46
071725 (Liver)/Image_0013 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.502,0.2941,Liver,126.45,4296.84
071725 (Liver)/Image_0014 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,127.93,4446.07
071725 (Liver)/Image_0015 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,154.61,5266.75
071725 (Liver)/Image_0016 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,143.9,5769.57
071725 (Liver)/Image_0017 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,134.43,4971.66
071725 (Liver)/Image_0018 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,151.43,6332.36
071725 (Liver)/Image_0019 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,131.55,4728.4
071725 (Liver)/Image_0020 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.6261,0.2358,Liver,124.88,4629.86
071725 (Liver)/Image_0022 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,155.77,6115.83
071725 (Liver)/Image_0024 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.7591,0.1945,Liver,124.85,4736.09
071725 (Intestine)/Image_0000 Annotated 1.jpg,20250717,5.3158,1.8,20,0.148,1.4439,0.1025,Intestine,130.59,5570.42
071725 (Intestine)/Image_0001 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.6107,0.2418,Intestine,145.56,5619.44
071725 (Intestine)/Image_0002 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.5724,0.2579,Intestine,150.06,5435.05
071725 (Intestine)/Image_0003 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,91.57,4058.02
071725 (Intestine)/Image_0004 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,147.97,5860.13
071725 (Intestine)/Image_0005 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4959,0.2978,Intestine,135.11,5231.91
071725 (Intestine)/Image_0006 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,139.32,5481.83
071725 (Intestine)/Image_0007 Annotated 1.jpg,20250717,5.3158,1.8,20,0.1477,0.788,0.1874,Intestine,148.25,6674.52
072425 Intestine/r1497_0000 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,127.24,4513.42
072425 Intestine/r1497_0001 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.5493,0.2688,Intestine,145.75,6345.79
072425 Intestine/r1497_0002 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,147.46,5424.35
072425 Intestine/r1497_0003 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.5435,0.2717,Intestine,146.87,5340.75
072425 Intestine/r1497_0005 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,164.74,6954.75
072425 Intestine/r1497_0007 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,142.94,6239.66
072425 Intestine/r1497_0008 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,118.68,5057.66
072425 Intestine/r1497_0010 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,128.22,4593.8
072425 Intestine/r1497_0014 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.5831,0.2532,Intestine,130.94,4741.14
072425 Intestine/r1497_0015 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,129.23,6123.22
072425 Intestine/r1497_0019 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.5707,0.2587,Intestine,130.68,4922.83
072425 Intestine/r1497_0020 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.5241,0.2817,Intestine,132.41,6778.67
072425 Intestine/r1497_0021 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,136.08,4723.66
072425 Intestine/r1497_0022 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,132.21,5978.89
072425 Intestine/r1497_0023 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,133.59,6335.24
072425 Intestine/r1497_0024 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,131.62,4767.67
072425 Intestine/r1497_0026 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,139.33,5194.38
072425 Intestine/r1497_0027 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Intestine,153.31,6595.12
072425 Liver/r1497_0000 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,145.01,5623.98
072425 Liver/r1497_0001 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,164.01,7085.56
072425 Liver/r1497_0002 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,163.5,6755.77
072425 Liver/r1497_0004 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,147.21,4990.2
072425 Liver/r1497_0005 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,159.75,5908.89
072425 Liver/r1497_0006 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,151.93,6046.75
072425 Liver/r1497_0007 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,142.96,5404.1
072425 Liver/r1497_0008 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,127.2,4061.41
072425 Liver/r1497_0009 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.5473,0.2698,Liver,154.01,5210.48
072425 Liver/r1497_0010 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,144.95,5436.17
072425 Liver/r1497_0011 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,136.02,5168.67
072425 Liver/r1497_0012 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,163.99,6751.96
072425 Liver/r1497_0013 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,125.77,5024.16
072425 Liver/r1497_0014 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,148.29,5352.35
072425 Liver/r1497_0015 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,129.36,4026.14
072425 Liver/r1497_0016 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.5331,0.277,Liver,141.08,5043.66
072425 Liver/r1497_0017 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,159.42,5543.9
