sample	reads	path	tissue	replicate
Int-01_S42_L005	Int-01_S42_L005_R1_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Int-01_S42_L005_R1_001.fastq.gz	intestine	1
Int-01_S42_L005	Int-01_S42_L005_R2_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Int-01_S42_L005_R2_001.fastq.gz	intestine	1
Int-02_S43_L005	Int-02_S43_L005_R1_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Int-02_S43_L005_R1_001.fastq.gz	intestine	2
Int-02_S43_L005	Int-02_S43_L005_R2_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Int-02_S43_L005_R2_001.fastq.gz	intestine	2
Int-03_S44_L005	Int-03_S44_L005_R1_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Int-03_S44_L005_R1_001.fastq.gz	intestine	3
Int-03_S44_L005	Int-03_S44_L005_R2_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Int-03_S44_L005_R2_001.fastq.gz	intestine	3
Int-04_S45_L005	Int-04_S45_L005_R1_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Int-04_S45_L005_R1_001.fastq.gz	intestine	4
Int-04_S45_L005	Int-04_S45_L005_R2_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Int-04_S45_L005_R2_001.fastq.gz	intestine	4
Liv-01_S38_L005	Liv-01_S38_L005_R1_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Liv-01_S38_L005_R1_001.fastq.gz	liver	1
Liv-01_S38_L005	Liv-01_S38_L005_R2_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Liv-01_S38_L005_R2_001.fastq.gz	liver	1
Liv-02_S39_L005	Liv-02_S39_L005_R1_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Liv-02_S39_L005_R1_001.fastq.gz	liver	2
Liv-02_S39_L005	Liv-02_S39_L005_R2_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Liv-02_S39_L005_R2_001.fastq.gz	liver	2
Liv-03_S40_L005	Liv-03_S40_L005_R1_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Liv-03_S40_L005_R1_001.fastq.gz	liver	3
Liv-03_S40_L005	Liv-03_S40_L005_R2_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Liv-03_S40_L005_R2_001.fastq.gz	liver	3
Liv-04_S41_L005	Liv-04_S41_L005_R1_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Liv-04_S41_L005_R1_001.fastq.gz	liver	4
Liv-04_S41_L005	Liv-04_S41_L005_R2_001	/data/classes/2024/fall/biol343/course_files/20240923_LH00283_0144_B22NMVKLT3/Liv-04_S41_L005_R2_001.fastq.gz	liver	4
