# Program:featureCounts v2.0.8; Command:"featureCounts" "dedup/star/Int-01_S42_L005.bam" "dedup/star/Int-02_S43_L005.bam" "dedup/star/Int-03_S44_L005.bam" "dedup/star/Int-04_S45_L005.bam" "dedup/star/Liv-01_S38_L005.bam" "dedup/star/Liv-02_S39_L005.bam" "dedup/star/Liv-03_S40_L005.bam" "dedup/star/Liv-04_S41_L005.bam" "-a" "genome/annotations.gtf" "-o" "counts/star/counts.tsv" "-T" "32" "-p" "--countReadPairs" "-C" "--ignoreDup" "-M" "--fraction" "--byReadGroup" 
Geneid	Chr	Start	End	Strand	Length	dedup/star/Int-01_S42_L005.bam:Int-01_S42_L005	dedup/star/Int-02_S43_L005.bam:Int-02_S43_L005	dedup/star/Int-03_S44_L005.bam:Int-03_S44_L005	dedup/star/Int-04_S45_L005.bam:Int-04_S45_L005	dedup/star/Liv-01_S38_L005.bam:Liv-01_S38_L005	dedup/star/Liv-02_S39_L005.bam:Liv-02_S39_L005	dedup/star/Liv-03_S40_L005.bam:Liv-03_S40_L005	dedup/star/Liv-04_S41_L005.bam:Liv-04_S41_L005
Smp_329140	SM_V10_1	68427	68783	-	357	0	0	0	0	0	0	0	0
Smp_315690	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	83503;83503;86020;86976;120682;123081;123081;125495;125495;131175;131175	83870;83870;86244;87259;120949;123305;123305;125778;125778;131262;131262	-;-;-;-;-;-;-;-;-;-;-	1742	500.34	258.63	594.26	932.22	446.08	1649.27	97.87	1075.61
Smp_317470	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	216287;216288;216289;221766;221766;224241;226598;247292;248306;248306;250672;250672	216368;216368;216368;222049;222049;224465;227069;247575;248530;248530;250959;251096	+;+;+;+;+;+;+;+;+;+;+;+	1997	296.36	176.39	396.28	589.41	278.54	976.31	77.91	715.84
Smp_318880	SM_V10_1	261046	277059	+	16014	4.83	1.83	0.33	3	0	1.50	0.83	1.33
Smp_319020	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	284128;284512;284618;285147	284471;284576;284739;285188	-;-;-;-	573	1	0	0	0	0	0	0	0
Smp_349630	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	404133;405455;406433;407431;408194;409147;410142;410535;410662;410791;411019	404492;405603;406510;407497;408258;409197;410240;410604;410751;410935;411056	-;-;-;-;-;-;-;-;-;-;-	1212	1186.17	383.08	1439.25	2284.90	1079.02	2423.22	441.52	1697.79
Smp_349560	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	462919;463039;463217;463364;463728;464771;465710;468803;469790;470697;471808	462953;463177;463306;463433;463826;464821;465774;468869;469867;470845;472249	+;+;+;+;+;+;+;+;+;+;+	1285	1448.50	536.33	2108.53	2809.05	1240.15	3856.80	513.89	2600.33
Smp_179970	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	617998;618109;618291;618441;618778;619933;620962;621721;623543;624492;625431;625607	618025;618253;618383;618510;618876;619983;621026;621787;623620;624640;625508;625946	+;+;+;+;+;+;+;+;+;+;+;+	1263	432.57	99.52	349.51	526.93	276.17	327.40	86.83	383.28
Smp_173350	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	705699;705810;705992;706142;706490;707634;708663;709421;711264;712223;713118;713297	705726;705954;706084;706211;706582;707684;708727;709487;711341;712371;713198;713638	+;+;+;+;+;+;+;+;+;+;+;+	1262	1900.26	438.62	1946.24	2682.10	1736.63	2277.96	604.98	2783.91
Smp_317840	SM_V10_1	738870	742215	+	3346	0	0	0	0	0	0	0.38	0
Smp_165590	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	1046763;1047746;1048802;1049195;1049322;1049451	1046848;1047796;1048900;1049264;1049411;1049597	-;-;-;-;-;-	543	1.50	0	3	8.50	3	4	1	3
Smp_165600	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	1095654;1096967;1098026;1098658	1095817;1097062;1098077;1099463	-;-;-;-	1118	2.50	4.75	4.75	17.25	4.58	5	1	4.42
Smp_319240	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	1210372;1211223;1211319;1212773;1213672	1210575;1211277;1211435;1212838;1214751	-;-;-;-;-	1522	1.50	0	0	0	0	0	0	4.50
Smp_319340	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	1237156;1237156;1237156;1239471;1242774;1242774;1242774;1250632;1250632;1250632;1251671;1251671;1251671;1252598;1252598;1252598;1256181;1256181;1256181;1257831;1257831;1257831	1239812;1239812;1237814;1239812;1243087;1243087;1243087;1250674;1250674;1250674;1251789;1251789;1251789;1252683;1252683;1252683;1256353;1256353;1256353;1270054;1270054;1270054	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	15616	196.23	64.50	116.68	192.70	72.16	145.87	32.50	136.90
Smp_350240	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	1348402;1348518;1348700;1348850;1349193;1350347;1350877;1351635;1353476;1354271;1355376	1348434;1348662;1348792;1348919;1349291;1350397;1350941;1351701;1353556;1354419;1355721	+;+;+;+;+;+;+;+;+;+;+	1199	1713.20	462.48	2480.76	3305.59	1384.03	2127.24	651.27	2309.54
Smp_243170	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	1437906;1439842;1440799;1441046;1442627;1444873;1448744;1449798;1453465;1454359;1455467;1458002;1464623;1466628;1466733;1466866;1467015;1467138	1438076;1439921;1440927;1441147;1442710;1445022;1448958;1449967;1453550;1454477;1455509;1458315;1464964;1466700;1466834;1466980;1467097;1467383	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2624	219.32	40.00	110.25	163.00	87.83	127.83	45	162.17
Smp_199340	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	1476492;1482184;1482477;1482610;1482767;1482846;1483054;1484141;1485545;1485703;1486405;1488291;1488526;1488640	1476533;1482443;1482572;1482733;1482812;1483023;1483302;1484206;1485661;1485757;1486479;1488481;1488601;1488843	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1779	10.50	7.50	5.50	21.50	5	11.50	2	14.17
Smp_180260	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	1770887;1775968;1776390;1789767	1771255;1775999;1777030;1791588	-;-;-;-	2864	5	0	1	1	1	1	0	6
Smp_311250	SM_V10_1;SM_V10_1;SM_V10_1	1806072;1808990;1815141	1806180;1809102;1815504	+;+;+	586	0	0	0	0	0	1	0	0
Smp_349570	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	1919469;1919579;1919763;1919913;1920255;1921404;1922438;1923197;1925005;1925966;1926891;1927070	1919495;1919725;1919855;1919982;1920353;1921454;1922502;1923263;1925085;1926114;1927019;1927421	+;+;+;+;+;+;+;+;+;+;+;+	1330	155.33	18.75	65.25	125.44	94.65	73	35.36	117.00
Smp_242000	SM_V10_1	2036589	2036723	+	135	0	0	0	0	0	0	0	0
Smp_078490	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2040271;2040539;2040710;2041446;2041641	2040484;2040669;2040791;2041534;2042090	+;+;+;+;+	966	1	0	0	0	0	1.33	1	1
Smp_164480	SM_V10_1	2060458	2061423	-	966	8	3.50	3	5.50	2	6	2	3
Smp_350510	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2096696;2096807;2096988;2097135;2097592;2098727;2099611;2100369;2101148;2102475;2103403;2103693;2103983;2104273;2104564;2104743	2096723;2096951;2097077;2097204;2097672;2098777;2099675;2100435;2101225;2102623;2103501;2103791;2104081;2104371;2104692;2105037	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1644	602.69	120.80	424.21	841.12	336.30	187.50	149.35	508.20
Smp_201260	SM_V10_1	2099947	2100222	+	276	6	0	3	3	1	0	3	1
Smp_099150	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2169363;2171993;2175389;2175572	2169886;2172280;2175531;2175657	-;-;-;-	1041	486.50	124.50	500.17	681	241	687	137	365.50
