Gene	UniProt annotation	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	INT_ma1	INT_ma2	INT_ma3	LIV_ma1	LIV_ma2	LIV_ma3
Smp_000020	Hyaluronidase, putative	48.33953866	0.345984921	0.417852636	0.828007032	0.407666518	0.629748549	40.09663793	46.92752803	41.74266967	66.96096889	57.36365908	36.94576838
Smp_000030	26S proteasome non-ATPase regulatory subunit 2	215.8993841	0.25130782	0.291890642	0.860965663	0.389256955	0.613629319	212.7077744	145.4753369	229.5846832	249.2748674	241.0773385	217.2763045
Smp_000040	Kinesin light chain	99.00619962	-0.026586454	0.350777782	-0.075792867	0.939583891	0.974012828	91.43989381	84.46955045	125.228009	120.4172046	101.2299866	71.2525533
Smp_000050	Transient receptor potential cation channel,putative	26.1448824	1.20366563	0.527358982	2.28244075	0.022463332	0.099926728	20.53730235	18.77101121	4.174266967	38.26341079	38.61736526	36.5059378
Smp_000070	1-acyl-sn-glycerol-3-phosphate acyltransferase	60.04977797	0.247818645	0.43869161	0.564903999	0.572139064	0.762941412	84.10514297	51.62028083	20.87133484	78.21491324	55.11410382	70.37289215
Smp_000075	Transcription factor, putative	0.229575612	-0.03415003	3.621400085	-0.009430063	0.99247601	NA	0	0	0	0.562697218	0.374925876	0.439830576
Smp_000080		37.8504427	-0.354908737	0.475427228	-0.746504862	0.455362496	0.671718666	47.43138877	28.15651682	50.0912036	49.51735514	32.99347712	18.91271476
Smp_000100	Filamin	74.36800014	0.284307878	0.416251587	0.683019324	0.494594632	0.703586401	76.77039213	89.16230325	33.39413574	58.52051062	70.48606475	117.8745943
Smp_000110	Similar to elongation factor Tu GTP binding domain containing 1 isoform 6-related	21.40415812	0.729619832	0.538754334	1.354271857	0.175649661	0.387654718	14.18051829	23.46376401	12.5228009	23.63328314	29.99407011	24.63051225
Smp_000130	Hormone-sensitive lipase (S09 family)	50.07754426	0.832727445	0.401126141	2.075974012	0.037896355	0.145751617	39.11867115	42.23477522	25.0456018	59.64590506	64.48725073	69.93306157
Smp_000150	PHD finger protein 10	33.09050862	0.897007366	0.5421169	1.654638264	0.097997897	0.270174318	39.11867115	4.692752803	16.69706787	57.95781341	40.49199465	39.58475183
Smp_000160	Variable lymphocyte receptor, putative	22.90061392	-0.260458528	0.49482034	-0.526369889	0.598631232	0.780596848	22.9822193	23.46376401	29.21986877	20.81979705	20.24599732	20.67203707
Smp_000180	Similar to potassium channel-interacting protein 4 isoform 4-related	13.27035151	0.687161024	0.703047292	0.977403699	0.328369332	0.556806268	11.73560135	9.385505605	8.348533934	9.565852698	11.99762804	28.58898743
Smp_000190	Oxidoreductase, short chain dehydrogenase/reductase family, putative	19.03730341	1.836509514	0.689788617	2.662423631	0.007758017	0.046662834	11.73560135	9.385505605	0	48.95465793	26.9946631	17.15339246
Smp_000200	Smr domain-containing protein	46.80243159	1.268034343	0.424926775	2.984124368	0.002843912	0.021590976	25.91611964	32.84926962	25.0456018	78.77761045	61.48784372	56.73814429
Smp_000230	Zinc finger protein	47.27270798	0.071675546	0.409412177	0.175069404	0.861025099	0.934792853	41.5635881	65.69853924	33.39413574	43.32768575	56.9887332	42.66356586
Smp_000240	Fusion; RNA binding protein, putative	192.9909206	-0.768796115	0.304963723	-2.520942844	0.011704086	0.063469587	221.020492	239.3303929	271.3273529	148.5520654	171.7160514	105.9991688
Smp_000250		0.081497232	-3.052826528	4.040827147	-0.755495451	0.449951761	NA	0.488983389	0	0	0	0	0
Smp_000260	Saposin containing protein	104.372399	1.42515512	0.364468359	3.910230026	9.22E-05	0.001262101	62.58987384	23.46376401	79.31107237	147.426671	153.3446834	160.0983296
Smp_000270	Trematode Eggshell Synthesis domain containing protein	4.525129984	-1.477113964	1.039620394	-1.420820496	0.155368951	0.359426579	3.422883726	4.692752803	12.5228009	2.813486088	1.499703505	2.19915288
Smp_000280	Trematode Eggshell Synthesis domain containing protein	6.171419965	-1.577630738	0.944026542	-1.671172015	0.094687706	0.264822366	2.933900336	9.385505605	16.69706787	2.813486088	2.999407011	2.19915288
Smp_000300	Similar to WD repeat domain 19-related	7.216201381	1.596462706	0.962303471	1.659001296	0.097115531	0.268638066	2.933900336	4.692752803	4.174266967	3.938880523	16.12181268	11.43559497
Smp_000310		113.1485242	-0.773667049	0.383311675	-2.018375906	0.043552127	0.161449095	104.1534619	131.3970785	196.1905475	105.7870769	92.98161733	48.38136335
Smp_000320	Ndr family, putative	69.35025068	-0.48340885	0.391468513	-1.234860105	0.216882573	0.440143318	66.99072435	61.00578643	116.8794751	47.82926349	46.86573454	76.53052021
Smp_000340	Ecdysone-induced protein E78; Nuclear hormone receptor superfamily protein-related	122.256701	-0.645539685	0.398387633	-1.620380833	0.105150494	0.281910565	78.2373423	150.1680897	225.4104162	86.6553715	71.23591651	121.8330695
Smp_000370		83.76949217	0.002516329	0.391250334	0.006431506	0.994868436	0.997320576	68.45767451	51.62028083	133.5765429	96.78392142	91.48191383	60.69661948
Smp_000390	Trematode Eggshell Synthesis domain containing protein	3.286375807	-1.696830645	1.244290321	-1.363693518	0.172664045	0.383343803	2.933900336	0	12.5228009	0.562697218	1.499703505	2.19915288
Smp_000420	Pro-His-rich protein	3.496297217	-1.690502484	1.221327113	-1.384152096	0.166311888	0.374103196	3.422883726	4.692752803	8.348533934	0	1.874629382	2.638983456
Smp_000430	Eggshell protein	9.168647832	-3.644662772	0.959937932	-3.796769199	0.000146594	0.001894788	3.911867115	14.07825841	33.39413574	1.688091653	1.499703505	0.439830576
Smp_000470	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	23.36139002	0.627117763	0.526269448	1.191628671	0.233406878	0.458387708	24.44916947	14.07825841	12.5228009	26.44676922	29.24421836	33.42712377
Smp_000480	Eukaryotic translation initiation factor 3 subunit C	334.2920237	-0.368705289	0.282245566	-1.306328015	0.191441034	0.40775508	406.83418	412.9622466	308.8957556	247.5867757	350.1807685	279.2924157
Smp_000500		0.821997064	1.123743633	2.101069257	0.53484369	0.592757949	NA	0.488983389	0	0	2.813486088	0.749851753	0.879661152
Smp_000510	mannose-1-phosphate guanylyltransferase	18.57565566	0.023256766	0.565731938	0.041109162	0.967208871	0.985831862	19.55933558	14.07825841	20.87133484	24.75867757	19.87107145	12.31525613
Smp_000560		0	NA	NA	NA	NA	NA	0	0	0	0	0	0
Smp_000580	Coiled-coil domain-containing protein 63	107.1054996	0.080430783	0.415526633	0.193563484	0.846517693	0.927650451	90.46192704	103.2405617	121.053742	50.64274958	110.9780594	166.2559577
Smp_000590	28S ribosomal protein S26, mitochondrial	67.89290122	-1.44960838	0.387621643	-3.739750882	0.000184203	0.002273519	76.28140874	140.7825841	83.48533934	46.14117184	28.11944073	32.54746262
Smp_000600	Notchless homolog 1	112.8027598	-0.044924379	0.333024522	-0.134898111	0.892692433	0.950684049	85.57209314	126.7043257	137.7508099	122.6679934	106.4789489	97.64238785
Smp_000620	BHLH domain-containing protein	3.389918684	-1.113985291	1.181573621	-0.942798038	0.345784215	0.573242039	8.312717619	4.692752803	0	2.25078887	1.124777629	3.958475183
Smp_000630	Isochorismatase family protein, putative	9.374287818	0.035790486	0.776900973	0.046068272	0.963255834	0.984180983	10.26865118	0	16.69706787	12.37933879	11.62270217	5.277966911
Smp_000640	Adapter molecule crk, putative	71.68551339	0.141311549	0.374714091	0.377118321	0.706085676	0.847005304	65.52377418	51.62028083	87.65960631	90.03155481	79.85921166	55.41865257
Smp_000650	 E3 ubiquitin-protein ligase	70.15435883	-0.188735329	0.35407286	-0.533040938	0.594005242	0.777431723	69.92462468	89.16230325	66.78827147	68.08636332	71.98576826	54.97882199
